Timestep,Globalstrahlung,Last,pv2,demand,pv20,demand7,pv20w,demand7w,dem
1,0,'0,13442298493297',0.10702,209.6433415769,0,0.7,0,700,0
2,0,'0,12382963395754',0.074873,207.4972007709,0,0.7,0,700,0
3,0,'0,123272657559345',0.055654,200.1080148989,0,0.7,0,700,0
4,0,'0,118857311154183',0.065059,191.8926802004,0,0.7,0,700,0
5,0,'0,111070478686866',0.085573,185.7173331069,0,0.7,0,700,0
6,0,'0,139287833357163',0.096229,180.6727483735,0,0.7,0,700,0
7,0,'1,39640709564384',0.11794,172.6835661471,0,0.7,0,700,0
8,0,'1,55186946215118',0.15953,170.0481975444,0,0.7,0,700,0
9,'0,002777777777778','0,774964716257688',0.23717,171.1328063389,0.000555555555556,0.7,0.5555555555556,700,0.5555555555556
10,'0,025','1,62087840984521',0.28515,179.5327553002,5,0.7,5,700,5
11,'0,036111111111111','1,27874324380854',0.35724,189.1557737532,0.007222222222222,0.7,7.2222222222222,700,7.2222222222222
12,'0,025','0,498301786185941',0.46354,201.0264708567,5,0.7,5,700,5
13,'0,016666666666667','0,434307355221888',0.56932,208.466425651,0.003333333333333,0.7,3.3333333333334,700,3.3333333333334
14,'0,016666666666667','0,593238602150547',0.68999,207.7187378864,0.003333333333333,0.7,3.3333333333334,700,3.3333333333334
15,'0,013888888888889','0,701991035393904',0.79517,205.4433670963,0.002777777777778,0.7,2.7777777777778,700,2.7777777777778
16,'0,002777777777778','0,817359574605365',0.86893,206.255669853,0.000555555555556,0.7,0.5555555555556,700,0.5555555555556
17,0,'0,820161443217152',0.92278,217.2402184947,0,0.7,0,700,0
18,0,'0,880719699387208',0.95895,232.7985854994,0,0.7,0,700,0
19,0,'0,830264166097871',0.97963,237.3216349401,0,0.7,0,700,0
20,0,'1,84963432946536',0.99052,232.3878187645,0,0.7,0,700,0
21,0,'1,14708070252235',0.99626,224.3063294067,0,0.7,0,700,0
22,0,'1,20656302958039',0.99859,219.2802060996,0,0.7,0,700,0
23,0,'0,274410422138663',0.99933,223.7017176957,0,0.7,0,700,0
24,0,'0,115826796036323',0.99923,213.9263924759,0,0.7,0,700,0
25,0,'0,128414405691641',0.99874,201.8341582569,0,0.7,0,700,0
26,0,'0,1216759499047',0.99845,192.2157551605,0,0.7,0,700,0
27,0,'0,123757743346856',0.99779,187.1527090008,0,0.7,0,700,0
28,0,'0,119984394017984',0.99735,184.3558029181,0,0.7,0,700,0
29,0,'0,129138321809464',0.9969,184.4388793364,0,0.7,0,700,0
30,0,'0,117258921710629',0.99637,182.7865816836,0,0.7,0,700,0
31,0,'1,55803968719402',0.99481,180.1050595152,0,0.7,0,700,0
32,0,'1,67976776964808',0.99304,191.5096056049,0,0.7,0,700,0
33,'0,005555555555556','0,895379506286883',0.99142,207.1048954623,0.001111111111111,0.7,1.1111111111112,700,1.1111111111112
34,'0,036111111111111','0,907424829075326',0.99039,222.501724987,0.007222222222222,0.7,7.2222222222222,700,7.2222222222222
35,'0,122222222222222','0,657333412137465',0.98986,231.1278264203,0.024444444444444,0.7,24.4444444444444,700,24.4444444444444
36,'0,166666666666667','0,441277216032551',0.98947,238.4108590912,0.033333333333333,0.7,33.3333333333334,700,33.3333333333334
37,'0,155555555555556','0,172684023376303',0.99026,241.184688391,0.031111111111111,0.7,31.1111111111112,700,31.1111111111112
38,'0,119444444444444','0,160594950874473',0.99193,237.4139420716,0.023888888888889,0.7,23.8888888888888,700,23.8888888888888
39,'0,041666666666667','0,186502972237519',0.99271,234.4693445786,0.008333333333333,0.7,8.3333333333334,700,8.3333333333334
40,'0,005555555555556','0,183972657376556',0.99281,235.1939555604,0.001111111111111,0.7,1.1111111111112,700,1.1111111111112
41,0,'0,34682028165542',0.99158,242.7308328427,0,0.7,0,700,0
42,0,'1,41144751289366',0.99079,264.1968562598,0,0.7,0,700,0
43,0,'2,71377461511252',0.99146,265.9506917572,0,0.7,0,700,0
44,0,'2,25003781665625',0.99194,260.2830338866,0,0.7,0,700,0
45,0,'1,2720644573536',0.99202,245.5785078477,0,0.7,0,700,0
46,0,'1,80193881696553',0.99239,238.8493179655,0,0.7,0,700,0
47,0,'0,715152369029418',0.99198,241.5539169168,0,0.7,0,700,0
48,0,'0,125873628124823',0.99105,231.3724403186,0,0.7,0,700,0
49,0,'0,130158646590534',0.98873,218.1355976697,0,0.7,0,700,0
50,0,'0,125791572992174',0.98524,208.7618084717,0,0.7,0,700,0
51,0,'0,118146295346631',0.98152,201.4926218705,0,0.7,0,700,0
52,0,'0,134682855680664',0.98,194.421895602,0,0.7,0,700,0
53,0,'0,116365959412271',0.97512,192.1188326725,0,0.7,0,700,0
54,0,'0,128365352628109',0.96149,187.9834731838,0,0.7,0,700,0
55,0,'1,48148779042024',0.94655,181.5173586262,0,0.7,0,700,0
56,0,'2,02324084229588',0.94065,185.2465667365,0,0.7,0,700,0
57,'0,002777777777778','1,11553257699641',0.93581,191.8742187741,0.000555555555556,0.7,0.5555555555556,700,0.5555555555556
58,'0,008333333333333','0,120347766266552',0.9057,202.7156913621,0.001666666666667,0.7,1.6666666666666,700,1.6666666666666
59,'0,025','0,129943438419337',0.87636,213.7002400039,5,0.7,5,700,5
60,'0,030555555555556','0,118977831074677',0.85986,225.6493981692,0.006111111111111,0.7,6.1111111111112,700,6.1111111111112
61,'0,05','0,131260014581289',0.87187,229.3462987835,0.01,0.7,10,700,10
62,'0,025','0,181157338404747',0.88404,223.4847959368,5,0.7,5,700,5
63,'0,019444444444444','0,588186363712714',0.90285,219.3263596653,0.003888888888889,0.7,3.8888888888888,700,3.8888888888888
64,'0,005555555555556','0,364558172046203',0.92233,218.6848251018,0.001111111111111,0.7,1.1111111111112,700,1.1111111111112
65,0,'0,353271712366787',0.94465,230.2739854545,0,0.7,0,700,0
66,0,'0,366996976445135',0.95549,249.8246358941,0,0.7,0,700,0
67,0,'0,954684367335415',0.96371,254.873835984,0,0.7,0,700,0
68,0,'1,76455259413056',0.9678,249.5477144998,0,0.7,0,700,0
69,0,'1,13833811480336',0.97427,239.8416196285,0,0.7,0,700,0
70,0,'0,299836470010597',0.97693,235.8077979845,0,0.7,0,700,0
71,0,'0,738488466358854',0.9763,240.7231527338,0,0.7,0,700,0
72,0,'0,140118869888593',0.97646,229.8216805104,0,0.7,0,700,0
73,0,'0,116998665655948',0.97775,217.8632916319,0,0.7,0,700,0
74,0,'0,123039193450881',0.9796,207.4187397092,0,0.7,0,700,0
75,0,'0,124455784385333',0.98278,201.9356961014,0,0.7,0,700,0
76,0,'0,129275725988051',0.98391,199.4064806999,0,0.7,0,700,0
77,0,'0,123683181006839',0.98546,201.0957012053,0,0.7,0,700,0
78,0,'0,1315499035554',0.98765,205.7064424209,0,0.7,0,700,0
79,0,'1,4521502155267',0.99015,222.4278792818,0,0.7,0,700,0
80,0,'2,13357756651665',0.99225,247.1800365783,0,0.7,0,700,0
81,'0,013888888888889','0,365783279183007',0.99371,262.4153286229,0.002777777777778,0.7,2.7777777777778,700,2.7777777777778
82,'0,083333333333333','0,118575398329556',0.9935,271.9321938747,0.016666666666667,0.7,16.6666666666666,700,16.6666666666666
83,'0,141666666666667','0,133385239391903',0.99284,278.4167698586,0.028333333333333,0.7,28.3333333333334,700,28.3333333333334
84,'0,197222222222222','0,121651276110186',0.9932,283.8213524046,0.039444444444444,0.7,39.4444444444444,700,39.4444444444444
85,'0,191666666666667','0,12718712955608',0.9939,285.8382632266,0.038333333333333,0.7,38.3333333333334,700,38.3333333333334
86,'0,152777777777778','0,137314881179441',0.9946,282.7828971759,0.030555555555556,0.7,30.5555555555556,700,30.5555555555556
87,'0,077777777777778','0,167014875958496',0.99482,279.9906064497,0.015555555555556,0.7,15.5555555555556,700,15.5555555555556
88,'0,019444444444444','0,395711686190944',0.99465,278.1260023946,0.003888888888889,0.7,3.8888888888888,700,3.8888888888888
89,0,'0,723817421234785',0.99386,283.1475103451,0,0.7,0,700,0
90,0,'2,89053523166384',0.99291,300.8474027993,0,0.7,0,700,0
91,0,'2,45331380939811',0.99168,299.7674093614,0,0.7,0,700,0
92,0,'2,07821555050144',0.98756,294.9535924566,0,0.7,0,700,0
93,0,'0,859439475326128',0.97564,281.2967523596,0,0.7,0,700,0
94,0,'0,443033404574563',0.95063,273.2521858544,0,0.7,0,700,0
95,0,'0,374320531939261',0.89537,269.2922099155,0,0.7,0,700,0
96,0,'0,169338754367486',0.77284,256.3876729397,0,0.7,0,700,0
97,0,'0,125181064045496',0.68626,245.9846592261,0,0.7,0,700,0
98,0,'0,112722877191613',0.58396,236.1354883011,0,0.7,0,700,0
99,0,'0,123639565286251',0.45925,229.4801441241,0,0.7,0,700,0
100,0,'0,133210777647222',0.41573,225.7924742229,0,0.7,0,700,0
101,0,'0,114528915215157',0.39466,227.0893894197,0,0.7,0,700,0
102,0,'0,140654052456962',0.44267,233.7216568139,0,0.7,0,700,0
103,0,'1,51114981089227',0.5154,252.8523098054,0,0.7,0,700,0
104,0,'1,23564920368582',0.55825,281.4998280488,0,0.7,0,700,0
105,'0,005555555555556','1,60130828510838',0.59368,295.2443599207,0.001111111111111,0.7,1.1111111111112,700,1.1111111111112
106,'0,019444444444444','0,113488758094725',0.56689,298.9966448138,0.003888888888889,0.7,3.8888888888888,700,3.8888888888888
107,'0,038888888888889','0,121899914431968',0.52071,301.8950887412,0.007777777777778,0.7,7.7777777777778,700,7.7777777777778
108,'0,041666666666667','0,13330645661447',0.53577,305.8642953932,0.008333333333333,0.7,8.3333333333334,700,8.3333333333334
109,'0,027777777777778','0,120871642827609',0.54674,306.8658277694,0.005555555555556,0.7,5.5555555555556,700,5.5555555555556
110,'0,019444444444444','0,116984696576662',0.56219,305.2227608297,0.003888888888889,0.7,3.8888888888888,700,3.8888888888888
111,'0,013888888888889','0,152504664457598',0.59634,301.1427856199,0.002777777777778,0.7,2.7777777777778,700,2.7777777777778
112,'0,002777777777778','0,280171733484338',0.60329,298.5858780789,0.000555555555556,0.7,0.5555555555556,700,0.5555555555556
113,0,'0,717122982483805',0.61437,301.6735516257,0,0.7,0,700,0
114,0,'2,08682111848981',0.67381,315.1503928164,0,0.7,0,700,0
115,0,'1,23382013800704',0.74123,318.3488349209,0,0.7,0,700,0
116,0,'0,492084675770415',0.82476,313.2211737692,0,0.7,0,700,0
117,0,'1,91014318544094',0.89963,299.0151062401,0,0.7,0,700,0
118,0,'2,22666039262797',0.94793,285.8844167923,0,0.7,0,700,0
119,0,'0,806840229095318',0.96764,280.7844477801,0,0.7,0,700,0
120,0,'0,204970649671226',0.97588,262.6276350253,0,0.7,0,700,0
121,0,'0,127475820212606',0.97923,249.2061781134,0,0.7,0,700,0
122,0,'0,12074332482769',0.96818,239.1447007861,0,0.7,0,700,0
123,0,'0,125285298939082',0.96364,232.2493580674,0,0.7,0,700,0
124,0,'0,13522201084671',0.96655,228.2478439193,0,0.7,0,700,0
125,0,'0,110316729845522',0.95912,228.7324563594,0,0.7,0,700,0
126,0,'0,136330229171644',0.9409,233.2278136606,0,0.7,0,700,0
127,0,'0,538643734552361',0.90182,249.5338684301,0,0.7,0,700,0
128,0,'2,03348309552285',0.84907,274.4660246328,0,0.7,0,700,0
129,'0,002777777777778','0,53170367369276',0.77243,285.8982628621,0.000555555555556,0.7,0.5555555555556,700,0.5555555555556
130,'0,011111111111111','1,70718196627436',0.69315,289.9966994981,0.002222222222222,0.7,2.2222222222222,700,2.2222222222222
131,'0,019444444444444','1,77532062907448',0.64418,294.8474392555,0.003888888888889,0.7,3.8888888888888,700,3.8888888888888
132,'0,025','3,29176097814862',0.65718,299.7120250825,5,0.7,5,700,5
133,'0,030555555555556','1,33044756309449',0.71166,299.9704850506,0.006111111111111,0.7,6.1111111111112,700,6.1111111111112
134,'0,027777777777778','0,608015100387158',741,295.9735862591,0.005555555555556,0.7,5.5555555555556,700,5.5555555555556
135,'0,016666666666667','2,05427440183793',0.78431,291.3443836172,0.003333333333333,0.7,3.3333333333334,700,3.3333333333334
136,'0,002777777777778','1,91068647555831',0.84363,289.4567027792,0.000555555555556,0.7,0.5555555555556,700,0.5555555555556
137,0,'0,64631233954453',0.89667,292.5674531088,0,0.7,0,700,0
138,0,'1,57408289242338',0.94979,307.031980606,0,0.7,0,700,0
139,0,'2,16523727600361',0.97085,312.2196413931,0,0.7,0,700,0
140,0,'1,82813119496697',0.9807,306.6396752973,0,0.7,0,700,0
141,0,'0,830346061844598',0.98644,292.1889938699,0,0.7,0,700,0
142,0,'0,955890285340203',0.99008,282.5613600604,0,0.7,0,700,0
143,0,'0,355410873439536',0.99254,279.5659936451,0,0.7,0,700,0
144,0,'0,114542538658549',0.99346,263.5876291923,0,0.7,0,700,0
145,0,'0,137578857139162',0.99428,249.5107916472,0,0.7,0,700,0
146,0,'0,111934835577345',0.99534,238.5585505015,0,0.7,0,700,0
147,0,'0,132603335470123',0.9965,232.1062820136,0,0.7,0,700,0
148,0,'0,113757385301918',0.99709,228.4786117479,0,0.7,0,700,0
149,0,'0,128250525356588',0.99769,230.9524428706,0,0.7,0,700,0
150,0,'0,128008445455361',0.99813,241.1569962516,0,0.7,0,700,0
151,0,'0,117053242829173',0.99826,266.1399213767,0,0.7,0,700,0
152,0,'0,724661018138386',0.99818,297.6258839119,0,0.7,0,700,0
153,'0,019444444444444','3,19949329939376',0.99804,307.6550537432,0.003888888888889,0.7,3.8888888888888,700,3.8888888888888
154,'0,097222222222222','1,37235539220784',0.99805,308.2873575936,0.019444444444444,0.7,19.4444444444444,700,19.4444444444444
155,'0,163888888888889','2,43084781048322',0.99812,310.5627283837,0.032777777777778,0.7,32.7777777777778,700,32.7777777777778
156,'0,177777777777778','3,03925236525975',0.99831,313.2350198389,0.035555555555556,0.7,35.5555555555556,700,35.5555555555556
157,'0,172222222222222','1,07768072278223',0.99846,312.9765598709,0.034444444444445,0.7,34.4444444444444,700,34.4444444444444
158,'0,152777777777778','0,534631086411892',0.99843,310.0873466567,0.030555555555556,0.7,30.5555555555556,700,30.5555555555556
159,'0,077777777777778','0,430302455656728',0.99838,306.0812171521,0.015555555555556,0.7,15.5555555555556,700,15.5555555555556
160,'0,011111111111111','0,447631494623805',0.99828,304.9412240788,0.002222222222222,0.7,2.2222222222222,700,2.2222222222222
161,0,'0,278341305157599',0.9981,305.7950650446,0,0.7,0,700,0
162,0,'0,452999610597332',0.99796,320.9057424619,0,0.7,0,700,0
163,0,'0,871918283534253',0.99793,324.5749509367,0,0.7,0,700,0
164,0,'1,68803276927484',0.99783,320.148823984,0,0.7,0,700,0
165,0,'0,838965353052494',0.99774,306.1827549967,0,0.7,0,700,0
166,0,'0,772137407337965',0.99771,294.1735971959,0,0.7,0,700,0
167,0,'0,476539802620963',0.9976,286.8582570291,0,0.7,0,700,0
168,0,'0,120082847629095',0.99748,269.8183605647,0,0.7,0,700,0
169,0,'0,119107001597858',0.99739,255.4184480596,0,0.7,0,700,0
170,0,'0,127487647158735',0.99752,245.3200478797,0,0.7,0,700,0
171,0,'0,119795858527886',0.99789,238.0831687746,0,0.7,0,700,0
172,0,'0,124421265632004',0.99814,233.1216604595,0,0.7,0,700,0
173,0,'0,134804576982938',0.99854,234.9078034529,0,0.7,0,700,0
174,0,'0,115459942348419',999,243.6169813046,0,0.7,0,700,0
175,0,'1,37782863501842',0.99941,265.6045400143,0,0.7,0,700,0
176,0,'1,51790962582984',0.99966,295.7105109345,0,0.7,0,700,0
177,'0,002777777777778','0,6617848323083',0.9998,306.0581403692,0.000555555555556,0.7,0.5555555555556,700,0.5555555555556
178,'0,011111111111111','1,26524535402786',0.99986,308.2365886713,0.002222222222222,0.7,2.2222222222222,700,2.2222222222222
179,'0,030555555555556','0,215849499116644',0.99987,311.0796483197,0.006111111111111,0.7,6.1111111111112,700,6.1111111111112
180,'0,044444444444444','0,115090727458231',0.99984,313.9688615339,0.008888888888889,0.7,8.8888888888888,700,8.8888888888888
181,'0,063888888888889','0,15100066622339',0.99976,314.1627065099,0.012777777777778,0.7,12.7777777777778,700,12.7777777777778
182,'0,025','0,160609531579033',0.99963,308.250434741,5,0.7,5,700,5
183,'0,011111111111111','0,378770078039384',0.99951,303.4366178362,0.002222222222222,0.7,2.2222222222222,700,2.2222222222222
184,'0,002777777777778','0,498060819170257',0.99937,300.3027907238,0.000555555555556,0.7,0.5555555555556,700,0.5555555555556
185,0,'0,405405198490245',0.99911,303.0627739539,0,0.7,0,700,0
186,0,'1,81859110561239',0.99851,318.9580619884,0,0.7,0,700,0
187,0,'0,639678237262972',0.99745,321.0949720813,0,0.7,0,700,0
188,0,'1,34682488138802',0.99587,313.0411748629,0,0.7,0,700,0
189,0,'2,72918834487076',0.99444,296.3981990637,0,0.7,0,700,0
190,0,'0,780382851620797',0.99361,286.082877125,0,0.7,0,700,0
191,0,'0,185879890148889',0.99172,283.4336624525,0,0.7,0,700,0
192,0,'0,123567313039387',0.98884,270.256819439,0,0.7,0,700,0
193,0,'0,130925439351328',0.98624,260.1076503369,0,0.7,0,700,0
194,0,'0,113312815740138',0.98548,250.8769371926,0,0.7,0,700,0
